Detector: SHITOMASI Descriptor: BRIEF
14.1042
10.9151
10.1682
12.3378
13.4042
12.8026
29.6499
12.2105
11.8696
13.2068
10.8422
9.26202
12.803
8.0945
10.5627
12.3236
10.0942
7.43255
