Detector: FAST Descriptor: SIFT
15.1661
17.4899
12.6025
-inf
-inf
66.0229
32.2067
12.0734
12.8498
25.5876
14.5071
14.0159
11.5003
nan
13.7749
11.4782
11.7562
11.7502
