Detector: SIFT Descriptor: FREAK
12.245
21.9064
12.3488
13.9146
12.4208
11.5942
17.3576
14.7147
13.9255
11.9416
12.1619
11.1498
8.69866
11.1054
9.10742
8.55509
8.33028
nan
