Detector: BRISK Descriptor: FREAK
13.8565
31.3428
10.1122
20.9862
22.615
13.3512
16.382
13.6643
15.7953
10.824
14.1778
8.89291
11.9339
9.29757
14.441
11.0073
10.486
10.2265
