Detector: SIFT Descriptor: SIFT
10.703
11.9623
12.6949
15.5886
12.5795
11.6438
14.0328
13.3166
12.7337
10.3983
10.7594
9.93119
8.6758
9.09397
8.77945
8.55634
7.88566
8.00666
