Detector: BRISK Descriptor: SIFT
16.382
17.8133
17.7603
16.1216
55.7266
15.0393
15.3564
16.2302
15.1401
13.5092
12.7585
14.8662
12.5228
11.8844
12.102
12.2293
10.5641
12.3639
