Detector: BRISK Descriptor: ORB
12.2096
18.8793
14.8719
16.359
23.0541
16.7927
13.2361
20.5044
14.3528
10.5883
10.5415
11.7085
10.8728
13.435
10.1428
11.2649
6.16145
13.2886
