Detector: FAST Descriptor: BRIEF
10.8098
9.04436
10.6968
-inf
16.9152
-inf
-inf
12.9153
13.2766
13.6608
12.8249
11.9904
11.8956
9.82784
10.768
9.37082
10.7105
10.29
